ISO3,COUNTRY.x,MIGRATION,DESEMPLEO,CRI,PUBLIC_SERV, CORRUPCTION, HUMANRIGTHS,PEACEINDEX,% POBLATION,FOODINSEC,#OFPEOPLEWOELECT
LUX,Luxembourg,12.01,5.6,72.83,1.7,0,"1,0",80,,,
LVA,Latvia,-5.19,6.3,86.83,2.4,1.599,"3,0",56,86.13545644,197.5,0
LVA,Latvia,-5.19,6.3,86.83,2.4,1.599,"3,0",56,86.13545644,101.4,0
MAR,Morocco,-1.74,9.3,79.67,4.8,2.037,"6,2",41,74.37631447,3485.4,145887.064
MAR,Morocco,-1.74,9.3,79.67,4.8,2.037,"6,2",41,74.37631447,9260.2,145887.064
MAR,Morocco,-1.74,9.3,79.67,4.8,2.037,"6,2",41,74.37631447,3001.5,145887.064
MDG,Madagascar,0,1.9,40.33,8.6,1.867,"5,6",24,,,
MEX,Mexico,-0.76,3.5,59.5,6.2,2.533,"5,9",29,70.06991047,31191,0
MEX,Mexico,-0.76,3.5,59.5,6.2,2.533,"5,9",29,70.06991047,12406.5,0
MEX,Mexico,-0.76,3.5,59.5,6.2,2.533,"5,9",29,70.06991047,10492.8,0
MNG,Mongolia,-0.77,5.4,31.67,4.8,1.76,"4,2",35,51.07999408,628.3,28211.59038
MNG,Mongolia,-0.77,5.4,31.67,4.8,1.76,"4,2",35,51.07999408,245.5,28211.59038
MNG,Mongolia,-0.77,5.4,31.67,4.8,1.76,"4,2",35,51.07999408,184.1,28211.59038
MOZ,Mozambique,-1.58,3.5,2.67,9.1,2.14,"5,6",26,,,
MRT,Mauritania,-0.72,10.4,63,8.6,2.214,"7,5",28,36.7,342.6,2452382.112
MRT,Mauritania,-0.72,10.4,63,8.6,2.214,"7,5",28,36.7,390.5,2452382.112
MRT,Mauritania,-0.72,10.4,63,8.6,2.214,"7,5",28,36.7,1064.3,2452382.112
MYS,Malaysia,1.48,3.3,87.33,3.6,1.589,"7,4",53,84.18714501,1544.9,0
MYS,Malaysia,1.48,3.3,87.33,3.6,1.589,"7,4",53,84.18714501,2182.7,0
MYS,Malaysia,1.48,3.3,87.33,3.6,1.589,"7,4",53,84.18714501,5281.5,0
NAM,Namibia,0,20,98.17,6.8,1.919,"3,2",52,40.5,418.1,1117668.536
NAM,Namibia,0,20,98.17,6.8,1.919,"3,2",52,40.5,1231.2,1117668.536
NAM,Namibia,0,20,98.17,6.8,1.919,"3,2",52,40.5,508.2,1117668.536
NGA,Nigeria,-0.21,8.5,70,8.9,2.769,"8,3",26,33.6,28027.3,89629766.94
NGA,Nigeria,-0.21,8.5,70,8.9,2.769,"8,3",26,33.6,62822,89629766.94
NGA,Nigeria,-0.21,8.5,70,8.9,2.769,"8,3",26,33.6,29161.9,89629766.94
NIC,Nicaragua,-2.15,5.2,58,6.2,2.293,"7,3",22,,,
NLD,Netherlands,1.9,3.4,97.17,0.8,1.471,"1,0",82,93.2885906,973.2,0
NLD,Netherlands,1.9,3.4,97.17,0.8,1.471,"1,0",82,93.2885906,356.2,0
NLD,Netherlands,1.9,3.4,97.17,0.8,1.471,"1,0",82,93.2885906,376.4,0
NOR,Norway,3.92,3.7,92.33,0.8,1.5,"0,9",84,98.00000439,102.1,0
NOR,Norway,3.92,3.7,92.33,0.8,1.5,"0,9",84,98.00000439,247.9,0
NPL,Nepal,-4.21,3.1,20,6.6,1.959,"7,1",34,32.8,7991.8,2889480.215
NPL,Nepal,-4.21,3.1,20,6.6,1.959,"7,1",34,32.8,2120.1,2889480.215
NPL,Nepal,-4.21,3.1,20,6.6,1.959,"7,1",34,32.8,2830.9,2889480.215
OMN,Oman,-0.45,1.8,84.67,2.9,1.919,"7,5",52,,,
PAK,Pakistan,-0.96,3.5,25,8,2.891,"7,4",32,17.07090203,28006,56492448.86
PAK,Pakistan,-0.96,3.5,25,8,2.891,"7,4",32,17.07090203,23587,56492448.86
PAK,Pakistan,-0.96,3.5,25,8,2.891,"7,4",32,17.07090203,17949.4,56492448.86
PAN,Panama,3.42,4.7,108.33,4.4,1.816,"3,8",36,,,
PER,Peru,-0.75,3.4,56.33,6.1,1.973,"3,7",36,59.95050106,3181.3,537526.8754
PER,Peru,-0.75,3.4,56.33,6.1,1.973,"3,7",36,59.95050106,11349.1,537526.8754
PER,Peru,-0.75,3.4,56.33,6.1,1.973,"3,7",36,59.95050106,4662.8,537526.8754
POL,Poland,-0.33,3.3,80,2.1,1.58,"4,2",58,80.43590724,1098.7,0
POL,Poland,-0.33,3.3,80,2.1,1.58,"4,2",58,80.43590724,1660.3,0
POL,Poland,-0.33,3.3,80,2.1,1.58,"4,2",58,80.43590724,3373.9,0
PRT,Portugal,0.91,6.5,48.33,2.2,1.247,"1,2",62,75.34637794,774.5,0
PRT,Portugal,0.91,6.5,48.33,2.2,1.247,"1,2",62,75.34637794,489.4,0
PRT,Portugal,0.91,6.5,48.33,2.2,1.247,"1,2",62,75.34637794,1523.2,0
PRY,Paraguay,-0.07,6.6,30,5.6,2.06,"5,7",28,68.51762842,262.9,0
PRY,Paraguay,-0.07,6.6,30,5.6,2.06,"5,7",28,68.51762842,256.6,0
PRY,Paraguay,-0.07,6.6,30,5.6,2.06,"5,7",28,68.51762842,553.9,0
QAT,Qatar,2.45,0.1,118,1.3,1.617,"6,4",62,,,
SAU,Saudi Arabia,5.52,5.7,73,3.2,2.405,"9,3",53,,,
SDN,Sudan,-1.67,28.5,19.83,8.6,2.866,"9,4",16,25.9,16092.9,19768125.03
SEN,Senegal,-0.71,2.9,67.5,7.4,1.872,"5,4",45,39.5,1607.7,4823723.152
SEN,Senegal,-0.71,2.9,67.5,7.4,1.872,"5,4",45,39.5,5687,4823723.152
SEN,Senegal,-0.71,2.9,67.5,7.4,1.872,"5,4",45,39.5,1807.1,4823723.152
SGP,Singapore,4.22,3.1,118,1,1.348,"4,6",85,88.94925269,159.3,0
SLB,Solomon Islands,-1.55,0.8,118,7.8,0,"4,6",42,,,
SLE,Sierra Leone,2.03,4.6,76.5,8.8,1.814,"5,2",33,16.8,1767.2,6039609.011
SLE,Sierra Leone,2.03,4.6,76.5,8.8,1.814,"5,2",33,16.8,5435.5,6039609.011
SLE,Sierra Leone,2.03,4.6,76.5,8.8,1.814,"5,2",33,16.8,1676.4,6039609.011
SVN,Slovenia,1.54,4.4,91.83,1.3,1.293,"1,0",60,83.1083578,255.6,0
SVN,Slovenia,1.54,4.4,91.83,1.3,1.293,"1,0",60,83.1083578,130.7,0
SWE,Sweden,3.6,12.2,100.5,0.9,1.515,"0,9",85,94.49344341,173.6,0
SWE,Sweden,3.6,12.2,100.5,0.9,1.515,"0,9",85,94.49344341,195.1,0
SWE,Sweden,3.6,12.2,100.5,0.9,1.515,"0,9",85,94.49344341,439.3,0
TCD,Chad,-0.13,1.1,118,9.1,2.499,"8,8",20,,,
TJK,Tajikistan,-1.03,2.2,104.33,5.2,2.168,"8,6",25,,,
TTO,Trinidad and Tobago,-1.01,3.1,118,3.7,2.059,"3,6",40,,,
UGA,Uganda,-3.26,1.9,42.17,7.8,2.193,"8,0",28,14.7,6804.3,25986247.57
UGA,Uganda,-3.26,1.9,42.17,7.8,2.193,"8,0",28,14.7,24268.5,25986247.57
UGA,Uganda,-3.26,1.9,42.17,7.8,2.193,"8,0",28,14.7,6628.3,25986247.57
UKR,Ukraine,-0.26,8.2,76.17,3.8,2.768,"6,6",30,70.1248443,8899.3,0
UKR,Ukraine,-0.26,8.2,76.17,3.8,2.768,"6,6",30,70.1248443,4664.6,0
UKR,Ukraine,-0.26,8.2,76.17,3.8,2.768,"6,6",30,70.1248443,2950.5,0
URY,Uruguay,-0.88,8.9,79.67,2.7,1.695,"2,9",71,83.35153377,223.7,3461.731
URY,Uruguay,-0.88,8.9,79.67,2.7,1.695,"2,9",71,83.35153377,291.5,3461.731
URY,Uruguay,-0.88,8.9,79.67,2.7,1.695,"2,9",71,83.35153377,737.1,3461.731
UZB,Uzbekistan,-1.78,5.8,118,4.4,2.056,"7,9",25,70.4000024,1066.1,0
UZB,Uzbekistan,-1.78,5.8,118,4.4,2.056,"7,9",25,70.4000024,3454.5,0
UZB,Uzbekistan,-1.78,5.8,118,4.4,2.056,"7,9",25,70.4000024,1376.1,0
VEN,Venezuela,13.88,5.1,118,8.3,2.673,"9,0",16,,,
ZAF,South Africa,0,4.3,32.5,6.7,2.41,"4,2",44,,,
ZMB,Zambia,0.24,12.5,63.33,7.3,1.768,"7,4",34,16.8,8137.7,10180789.38
ZMB,Zambia,0.24,12.5,63.33,7.3,1.768,"7,4",34,16.8,2133.2,10180789.38
ZMB,Zambia,0.24,12.5,63.33,7.3,1.768,"7,4",34,16.8,2246.9,10180789.38
